'#lines','H-V',dummy,subspace
500,'2-2',1908.6332,2742.6656
1000,'2-2',958.9675,1382.6026
1500,'2-2',635.2104,927.7612
2000,'2-2',477.3618,703.2885
2500,'2-2',380.8266,555.6108
3000,'2-2',303.0644,458.5320
3500,'2-2',260.0361,398.9717
4000,'2-2',229.3392,343.1710
4500,'2-2',207.7349,307.5555
5000,'2-2',186.9267,275.5831
5500,'2-2',169.9652,249.5515
6000,'2-2',155.1140,229.3109
6500,'2-2',142.8114,213.6217
7000,'2-2',132.7342,194.8907
7500,'2-2',123.6611,181.5699
8000,'2-2',115.3791,172.0802
8500,'2-2',108.5879,161.6988
9000,'2-2',102.2672,153.5272
9500,'2-2',96.8436,144.7192
10000,'2-2',92.0716,136.8793
